1;1;1
1;2;9
1;3;15
1;4;19
1;5;37
2;1;1
2;2;9
2;3;15
2;4;20
2;6;44
3;1;1
3;2;9
3;3;15
3;4;20
3;6;53
4;7;1
4;8;7
4;9;25
4;10;28
4;11;37
4;12;46
5;7;1
5;8;7
5;9;28
5;10;32
5;11;43
5;12;54
6;7;1
6;8;7
6;9;28
6;10;32
6;11;47
6;12;62
7;1;1
7;14;7
7;13;13
7;16;28
7;15;31
7;17;40
8;1;1
8;14;7
8;13;13
8;16;33
8;15;37
8;17;49
9;1;1
9;14;7
9;13;13
9;16;33
9;15;40
9;17;60
133;1;1
133;18;13
133;19;37
134;1;1
134;14;9
134;18;13
134;17;45
135;1;1
135;20;9
135;18;13
135;21;45
135;22;78
136;1;1
136;8;9
136;18;13
136;9;20
136;11;52
